Temperature (C)	Pressure (bar)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, kJ/kg)"	"Enthalpy (l, kJ/kg)"	"Entropy (l, J/g*K)"	"Cv (l, J/g*K)"	"Cp (l, J/g*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/bar)"	"Viscosity (l, uPa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, kJ/kg)"	"Enthalpy (v, kJ/kg)"	"Entropy (v, J/g*K)"	"Cv (v, J/g*K)"	"Cp (v, J/g*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/bar)"	"Viscosity (v, uPa*s)"	"Therm. Cond. (v, W/m*K)"
-38.448	9.9145	1069.2	0.00093531	87.713	88.64	0.42045	0.91554	1.8523	815.38	-0.0091924	147.48	0.14423	0.012823	25.701	0.038909	358.65	397.23	1.7353	0.73862	1.1016	221.06	2.1634	12.162	0.013108
-38.21	9.997	1068.3	0.00093606	88.146	89.082	0.4223	0.91543	1.8536	813.85	-0.0090481	147.05	0.14396	0.012774	25.911	0.038594	358.71	397.29	1.7342	0.73941	1.1037	221.04	2.1575	12.178	0.013134
-37.974	10.08	1067.4	0.00093681	88.577	89.522	0.42414	0.91533	1.8548	812.34	-0.0089038	146.62	0.14368	0.012725	26.121	0.038284	358.77	397.36	1.7331	0.74019	1.1058	221.03	2.1517	12.194	0.013159
-37.739	10.162	1066.6	0.00093756	89.006	89.959	0.42596	0.91523	1.8561	810.83	-0.0087594	146.19	0.14341	0.012677	26.331	0.037978	358.83	397.42	1.732	0.74098	1.1079	221.02	2.1459	12.209	0.013184
-37.506	10.245	1065.7	0.00093831	89.432	90.393	0.42778	0.91513	1.8574	809.33	-0.0086151	145.77	0.14315	0.012628	26.541	0.037678	358.88	397.48	1.731	0.74175	1.11	221	2.1402	12.225	0.013209
-37.274	10.327	1064.9	0.00093906	89.856	90.826	0.42958	0.91504	1.8587	807.84	-0.0084706	145.35	0.14288	0.012581	26.751	0.037382	358.94	397.55	1.7299	0.74253	1.1121	220.99	2.1346	12.241	0.013234
-37.043	10.41	1064.1	0.0009398	90.278	91.256	0.43137	0.91494	1.86	806.36	-0.0083262	144.94	0.14261	0.012533	26.961	0.03709	359	397.61	1.7289	0.7433	1.1142	220.97	2.129	12.256	0.013259
-36.814	10.492	1063.2	0.00094054	90.697	91.684	0.43315	0.91485	1.8612	804.89	-0.0081816	144.53	0.14235	0.012486	27.172	0.036803	359.05	397.67	1.7278	0.74406	1.1163	220.96	2.1235	12.272	0.013284
-36.586	10.575	1062.4	0.00094128	91.114	92.109	0.43491	0.91475	1.8625	803.43	-0.0080371	144.12	0.14209	0.012439	27.382	0.03652	359.11	397.73	1.7268	0.74482	1.1183	220.94	2.118	12.287	0.013308
-36.359	10.657	1061.6	0.00094201	91.529	92.533	0.43667	0.91466	1.8638	801.97	-0.0078924	143.72	0.14183	0.012393	27.593	0.036241	359.16	397.78	1.7258	0.74558	1.1204	220.92	2.1126	12.302	0.013333
-36.134	10.74	1060.7	0.00094275	91.942	92.954	0.43842	0.91457	1.8651	800.52	-0.0077478	143.32	0.14157	0.012347	27.803	0.035967	359.21	397.84	1.7248	0.74634	1.1225	220.91	2.1073	12.318	0.013358
-35.91	10.822	1059.9	0.00094348	92.353	93.374	0.44015	0.91448	1.8664	799.08	-0.007603	142.92	0.14131	0.012301	28.014	0.035696	359.27	397.9	1.7238	0.74709	1.1246	220.89	2.102	12.333	0.013382
-35.687	10.905	1059.1	0.00094421	92.761	93.791	0.44188	0.91439	1.8677	797.65	-0.0074582	142.53	0.14106	0.012255	28.225	0.03543	359.32	397.95	1.7228	0.74783	1.1267	220.87	2.0967	12.348	0.013407
-35.465	10.988	1058.3	0.00094494	93.168	94.206	0.44359	0.91431	1.869	796.22	-0.0073134	142.14	0.14081	0.01221	28.436	0.035167	359.37	398.01	1.7218	0.74857	1.1287	220.85	2.0915	12.363	0.013431
-35.245	11.07	1057.5	0.00094567	93.572	94.619	0.4453	0.91422	1.8703	794.81	-0.0071684	141.76	0.14055	0.012165	28.647	0.034908	359.42	398.06	1.7208	0.74931	1.1308	220.84	2.0864	12.378	0.013456
-35.026	11.153	1056.6	0.00094639	93.975	95.03	0.44699	0.91413	1.8715	793.4	-0.0070234	141.38	0.1403	0.01212	28.858	0.034652	359.47	398.12	1.7198	0.75005	1.1329	220.82	2.0813	12.393	0.01348
-34.808	11.235	1055.8	0.00094712	94.376	95.44	0.44868	0.91405	1.8728	791.99	-0.0068783	141	0.14005	0.012075	29.069	0.034401	359.52	398.17	1.7188	0.75078	1.135	220.8	2.0763	12.408	0.013504
-34.591	11.318	1055	0.00094784	94.774	95.847	0.45035	0.91397	1.8741	790.6	-0.0067332	140.62	0.1398	0.012031	29.281	0.034152	359.57	398.22	1.7179	0.75151	1.137	220.78	2.0713	12.423	0.013528
-34.375	11.4	1054.2	0.00094856	95.171	96.252	0.45202	0.91389	1.8754	789.21	-0.006588	140.25	0.13956	0.011987	29.492	0.033908	359.62	398.27	1.7169	0.75223	1.1391	220.76	2.0663	12.437	0.013552
-34.161	11.483	1053.4	0.00094927	95.566	96.656	0.45367	0.91381	1.8767	787.83	-0.0064427	139.88	0.13931	0.011943	29.703	0.033666	359.66	398.32	1.7159	0.75295	1.1412	220.74	2.0615	12.452	0.013576
-33.947	11.565	1052.6	0.00094999	95.959	97.057	0.45532	0.91373	1.878	786.45	-0.0062973	139.52	0.13907	0.0119	29.915	0.033428	359.71	398.37	1.715	0.75367	1.1432	220.72	2.0566	12.467	0.013601
-33.735	11.648	1051.9	0.0009507	96.35	97.457	0.45696	0.91365	1.8793	785.09	-0.0061518	139.16	0.13883	0.011857	30.127	0.033193	359.76	398.42	1.714	0.75439	1.1453	220.7	2.0518	12.481	0.013624
-33.524	11.73	1051.1	0.00095142	96.739	97.855	0.45859	0.91357	1.8806	783.72	-0.0060062	138.8	0.13858	0.011814	30.339	0.032961	359.8	398.47	1.7131	0.7551	1.1474	220.68	2.047	12.496	0.013648
-33.314	11.813	1050.3	0.00095213	97.126	98.251	0.4602	0.9135	1.8819	782.37	-0.0058605	138.44	0.13834	0.011771	30.551	0.032733	359.85	398.52	1.7122	0.7558	1.1494	220.65	2.0423	12.51	0.013672
-33.105	11.895	1049.5	0.00095284	97.512	98.645	0.46182	0.91342	1.8832	781.02	-0.0057148	138.09	0.13811	0.011728	30.763	0.032507	359.89	398.56	1.7112	0.75651	1.1515	220.63	2.0377	12.525	0.013696
-32.897	11.978	1048.7	0.00095355	97.896	99.038	0.46342	0.91335	1.8846	779.68	-0.0055689	137.74	0.13787	0.011686	30.975	0.032284	359.94	398.61	1.7103	0.75721	1.1535	220.61	2.033	12.539	0.01372
-32.69	12.061	1047.9	0.00095425	98.278	99.429	0.46501	0.91327	1.8859	778.35	-0.005423	137.39	0.13763	0.011644	31.187	0.032065	359.98	398.65	1.7094	0.75791	1.1556	220.59	2.0285	12.553	0.013744
-32.484	12.143	1047.2	0.00095496	98.658	99.818	0.4666	0.9132	1.8872	777.02	-0.0052769	137.04	0.1374	0.011602	31.399	0.031848	360.03	398.7	1.7085	0.7586	1.1577	220.56	2.0239	12.568	0.013767
-32.28	12.226	1046.4	0.00095566	99.037	100.21	0.46817	0.91313	1.8885	775.7	-0.0051308	136.7	0.13716	0.011561	31.612	0.031634	360.07	398.74	1.7076	0.7593	1.1597	220.54	2.0194	12.582	0.013791
-32.076	12.308	1045.6	0.00095636	99.414	100.59	0.46974	0.91306	1.8898	774.38	-0.0049845	136.36	0.13693	0.011519	31.824	0.031422	360.11	398.79	1.7067	0.75999	1.1618	220.52	2.015	12.596	0.013814
-31.873	12.391	1044.9	0.00095706	99.79	100.98	0.4713	0.91299	1.8911	773.07	-0.0048381	136.03	0.1367	0.011478	32.037	0.031214	360.15	398.83	1.7058	0.76067	1.1638	220.49	2.0105	12.61	0.013838
-31.671	12.473	1044.1	0.00095776	100.16	101.36	0.47285	0.91292	1.8924	771.76	-0.0046916	135.69	0.13647	0.011437	32.25	0.031008	360.19	398.87	1.7049	0.76136	1.1659	220.47	2.0062	12.624	0.013861
-31.47	12.556	1043.3	0.00095846	100.54	101.74	0.4744	0.91286	1.8937	770.47	-0.004545	135.36	0.13624	0.011397	32.463	0.030804	360.23	398.91	1.704	0.76204	1.168	220.45	2.0018	12.638	0.013885
-31.27	12.638	1042.6	0.00095915	100.91	102.12	0.47593	0.91279	1.8951	769.17	-0.0043983	135.03	0.13601	0.011356	32.676	0.030604	360.28	398.95	1.7031	0.76271	1.17	220.42	1.9975	12.652	0.013908
-31.072	12.721	1041.8	0.00095985	101.27	102.5	0.47746	0.91272	1.8964	767.89	-0.0042515	134.71	0.13579	0.011316	32.889	0.030405	360.32	398.99	1.7023	0.76339	1.1721	220.4	1.9932	12.666	0.013932
-30.874	12.803	1041.1	0.00096054	101.64	102.87	0.47898	0.91266	1.8977	766.61	-0.0041046	134.38	0.13556	0.011276	33.102	0.030209	360.35	399.03	1.7014	0.76406	1.1741	220.37	1.989	12.68	0.013955
-30.677	12.886	1040.3	0.00096123	102.01	103.25	0.4805	0.9126	1.899	765.33	-0.0039575	134.06	0.13534	0.011236	33.316	0.030016	360.39	399.07	1.7005	0.76473	1.1762	220.34	1.9848	12.694	0.013978
-30.48	12.969	1039.6	0.00096192	102.37	103.62	0.482	0.91253	1.9004	764.06	-0.0038103	133.74	0.13512	0.011197	33.529	0.029825	360.43	399.11	1.6997	0.7654	1.1782	220.32	1.9807	12.708	0.014002
-30.285	13.051	1038.8	0.00096261	102.74	103.99	0.4835	0.91247	1.9017	762.8	-0.003663	133.42	0.13489	0.011158	33.743	0.029636	360.47	399.15	1.6988	0.76606	1.1803	220.29	1.9765	12.722	0.014025
-30.091	13.134	1038.1	0.0009633	103.1	104.36	0.48499	0.91241	1.903	761.54	-0.0035155	133.11	0.13467	0.011118	33.957	0.029449	360.51	399.18	1.698	0.76672	1.1824	220.27	1.9725	12.735	0.014048
-29.898	13.216	1037.4	0.00096399	103.46	104.73	0.48647	0.91235	1.9044	760.29	-0.0033679	132.8	0.13445	0.011079	34.171	0.029265	360.54	399.22	1.6971	0.76738	1.1844	220.24	1.9684	12.749	0.014071
-29.705	13.299	1036.6	0.00096467	103.81	105.1	0.48795	0.91229	1.9057	759.04	-0.0032202	132.49	0.13423	0.011041	34.385	0.029083	360.58	399.26	1.6963	0.76804	1.1865	220.21	1.9644	12.763	0.014094
-29.513	13.381	1035.9	0.00096536	104.17	105.46	0.48942	0.91223	1.907	757.8	-0.0030724	132.18	0.13402	0.011002	34.599	0.028903	360.62	399.29	1.6954	0.76869	1.1885	220.19	1.9604	12.776	0.014117
-29.323	13.464	1035.2	0.00096604	104.53	105.83	0.49088	0.91217	1.9084	756.56	-0.0029244	131.88	0.1338	0.010964	34.813	0.028725	360.65	399.33	1.6946	0.76934	1.1906	220.16	1.9564	12.79	0.01414
-29.133	13.546	1034.4	0.00096672	104.88	106.19	0.49234	0.91212	1.9097	755.33	-0.0027762	131.57	0.13358	0.010926	35.027	0.028549	360.69	399.36	1.6938	0.76999	1.1926	220.13	1.9525	12.803	0.014163
-28.944	13.629	1033.7	0.0009674	105.23	106.55	0.49379	0.91206	1.911	754.1	-0.002628	131.27	0.13337	0.010888	35.242	0.028375	360.72	399.39	1.6929	0.77063	1.1947	220.1	1.9486	12.817	0.014186
-28.755	13.711	1033	0.00096808	105.59	106.91	0.49523	0.912	1.9124	752.88	-0.0024796	130.97	0.13316	0.01085	35.457	0.028203	360.76	399.43	1.6921	0.77128	1.1968	220.07	1.9448	12.83	0.014209
-28.568	13.794	1032.2	0.00096876	105.94	107.27	0.49666	0.91195	1.9137	751.66	-0.002331	130.67	0.13294	0.010812	35.671	0.028034	360.79	399.46	1.6913	0.77192	1.1988	220.05	1.9409	12.844	0.014232
-28.381	13.876	1031.5	0.00096944	106.28	107.63	0.49809	0.9119	1.9151	750.45	-0.0021823	130.38	0.13273	0.010775	35.886	0.027866	360.82	399.49	1.6905	0.77256	1.2009	220.02	1.9372	12.857	0.014255
-28.196	13.959	1030.8	0.00097011	106.63	107.99	0.49951	0.91184	1.9164	749.25	-0.0020334	130.09	0.13252	0.010738	36.101	0.0277	360.86	399.52	1.6897	0.77319	1.2029	219.99	1.9334	12.87	0.014278
-28.011	14.042	1030.1	0.00097079	106.98	108.34	0.50093	0.91179	1.9178	748.04	-0.0018844	129.8	0.13231	0.010701	36.316	0.027536	360.89	399.55	1.6889	0.77383	1.205	219.96	1.9296	12.884	0.014301
-27.826	14.124	1029.4	0.00097146	107.32	108.69	0.50234	0.91174	1.9191	746.85	-0.0017353	129.51	0.1321	0.010664	36.532	0.027373	360.92	399.58	1.6881	0.77446	1.2071	219.93	1.9259	12.897	0.014323
-27.643	14.207	1028.7	0.00097214	107.67	109.05	0.50374	0.91169	1.9205	745.65	-0.0015859	129.22	0.1319	0.010627	36.747	0.027213	360.95	399.61	1.6873	0.77509	1.2091	219.9	1.9223	12.91	0.014346
-27.46	14.289	1028	0.00097281	108.01	109.4	0.50514	0.91164	1.9218	744.47	-0.0014365	128.94	0.13169	0.010591	36.963	0.027054	360.98	399.64	1.6865	0.77572	1.2112	219.87	1.9186	12.923	0.014369
-27.279	14.372	1027.2	0.00097348	108.35	109.75	0.50653	0.91159	1.9232	743.28	-0.0012868	128.65	0.13148	0.010554	37.178	0.026897	361.01	399.67	1.6857	0.77634	1.2133	219.84	1.915	12.937	0.014391
-27.097	14.454	1026.5	0.00097415	108.69	110.1	0.50791	0.91154	1.9246	742.1	-0.001137	128.37	0.13128	0.010518	37.394	0.026742	361.05	399.7	1.6849	0.77696	1.2153	219.81	1.9114	12.95	0.014414
-26.917	14.537	1025.8	0.00097482	109.03	110.44	0.50929	0.91149	1.9259	740.93	-0.00098707	128.09	0.13107	0.010482	37.61	0.026588	361.08	399.73	1.6841	0.77758	1.2174	219.78	1.9078	12.963	0.014437
-26.738	14.619	1025.1	0.00097549	109.36	110.79	0.51067	0.91144	1.9273	739.76	-0.00083695	127.81	0.13087	0.010447	37.826	0.026437	361.11	399.75	1.6834	0.7782	1.2195	219.75	1.9043	12.976	0.014459
-26.559	14.702	1024.4	0.00097615	109.7	111.13	0.51203	0.9114	1.9286	738.6	-0.00068666	127.54	0.13067	0.010411	38.043	0.026286	361.13	399.78	1.6826	0.77882	1.2215	219.72	1.9008	12.989	0.014482
-26.381	14.784	1023.7	0.00097682	110.03	111.48	0.51339	0.91135	1.93	737.44	-0.00053619	127.26	0.13047	0.010375	38.259	0.026138	361.16	399.81	1.6818	0.77943	1.2236	219.69	1.8973	13.002	0.014505
-26.203	14.867	1023	0.00097748	110.37	111.82	0.51475	0.9113	1.9314	736.28	-0.00038556	126.99	0.13027	0.01034	38.476	0.025991	361.19	399.83	1.681	0.78004	1.2257	219.66	1.8938	13.015	0.014527
-26.027	14.95	1022.3	0.00097815	110.7	112.16	0.5161	0.91126	1.9328	735.13	-0.00023476	126.72	0.13007	0.010305	38.692	0.025845	361.22	399.86	1.6803	0.78065	1.2278	219.63	1.8904	13.028	0.01455
-25.851	15.032	1021.6	0.00097881	111.03	112.5	0.51744	0.91122	1.9341	733.98	-8.38E-05	126.45	0.12987	0.01027	38.909	0.025701	361.25	399.88	1.6795	0.78126	1.2298	219.59	1.887	13.04	0.014572
-25.675	15.115	1021	0.00097947	111.36	112.84	0.51878	0.91117	1.9355	732.84	6.74E-05	126.19	0.12967	0.010235	39.126	0.025558	361.28	399.91	1.6788	0.78187	1.2319	219.56	1.8836	13.053	0.014595
-25.501	15.197	1020.3	0.00098013	111.69	113.18	0.52011	0.91113	1.9369	731.7	0.00021871	125.92	0.12947	0.010201	39.343	0.025417	361.3	399.93	1.678	0.78247	1.234	219.53	1.8802	13.066	0.014617
-25.327	15.28	1019.6	0.0009808	112.02	113.52	0.52144	0.91109	1.9383	730.56	0.00037023	125.66	0.12928	0.010166	39.56	0.025278	361.33	399.95	1.6772	0.78307	1.2361	219.5	1.8769	13.079	0.014639
-25.154	15.362	1018.9	0.00098146	112.34	113.85	0.52276	0.91104	1.9397	729.43	0.00052193	125.39	0.12908	0.010132	39.778	0.02514	361.36	399.98	1.6765	0.78367	1.2381	219.47	1.8736	13.092	0.014662
-24.981	15.445	1018.2	0.00098211	112.67	114.19	0.52408	0.911	1.941	728.3	0.00067381	125.13	0.12889	0.010097	39.995	0.025003	361.38	400	1.6758	0.78427	1.2402	219.43	1.8703	13.104	0.014684
-24.809	15.527	1017.5	0.00098277	112.99	114.52	0.52539	0.91096	1.9424	727.18	0.00082587	124.88	0.12869	0.010063	40.213	0.024868	361.41	400.02	1.675	0.78487	1.2423	219.4	1.8671	13.117	0.014707
-24.638	15.61	1016.9	0.00098343	113.32	114.85	0.52669	0.91092	1.9438	726.06	0.00097813	124.62	0.1285	0.01003	40.431	0.024734	361.43	400.04	1.6743	0.78546	1.2444	219.37	1.8638	13.13	0.014729
-24.468	15.692	1016.2	0.00098409	113.64	115.18	0.52799	0.91088	1.9452	724.95	0.0011306	124.36	0.12831	0.0099958	40.649	0.024601	361.46	400.06	1.6735	0.78605	1.2465	219.33	1.8606	13.142	0.014751
-24.298	15.775	1015.5	0.00098474	113.96	115.51	0.52929	0.91085	1.9466	723.83	0.0012832	124.11	0.12812	0.0099622	40.867	0.02447	361.48	400.08	1.6728	0.78664	1.2486	219.3	1.8574	13.155	0.014774
-24.129	15.858	1014.8	0.0009854	114.28	115.84	0.53058	0.91081	1.948	722.73	0.001436	123.85	0.12793	0.0099288	41.085	0.02434	361.51	400.1	1.6721	0.78723	1.2506	219.27	1.8542	13.167	0.014796
-23.96	15.94	1014.1	0.00098605	114.6	116.17	0.53186	0.91077	1.9494	721.62	0.0015891	123.6	0.12774	0.0098955	41.303	0.024211	361.53	400.12	1.6714	0.78782	1.2527	219.23	1.8511	13.18	0.014818
-23.792	16.023	1013.5	0.0009867	114.92	116.5	0.53314	0.91073	1.9508	720.52	0.0017423	123.35	0.12755	0.0098623	41.522	0.024084	361.55	400.14	1.6706	0.7884	1.2548	219.2	1.8479	13.193	0.01484
-23.625	16.105	1012.8	0.00098736	115.23	116.83	0.53442	0.9107	1.9522	719.43	0.0018957	123.11	0.12736	0.0098293	41.741	0.023957	361.58	400.16	1.6699	0.78899	1.2569	219.16	1.8448	13.205	0.014863
-23.458	16.188	1012.1	0.00098801	115.55	117.15	0.53569	0.91066	1.9536	718.33	0.0020493	122.86	0.12717	0.0097964	41.96	0.023832	361.6	400.18	1.6692	0.78957	1.259	219.13	1.8418	13.217	0.014885
-23.292	16.27	1011.5	0.00098866	115.87	117.47	0.53695	0.91063	1.955	717.25	0.0022031	122.61	0.12699	0.0097637	42.179	0.023709	361.62	400.2	1.6685	0.79015	1.2611	219.1	1.8387	13.23	0.014907
-23.127	16.353	1010.8	0.00098931	116.18	117.8	0.53821	0.91059	1.9564	716.16	0.0023571	122.37	0.1268	0.0097311	42.398	0.023586	361.64	400.21	1.6678	0.79072	1.2632	219.06	1.8356	13.242	0.014929
-22.962	16.435	1010.1	0.00098996	116.49	118.12	0.53947	0.91056	1.9579	715.08	0.0025114	122.13	0.12661	0.0096987	42.617	0.023465	361.67	400.23	1.6671	0.7913	1.2653	219.03	1.8326	13.255	0.014952
-22.798	16.518	1009.5	0.00099061	116.8	118.44	0.54072	0.91052	1.9593	714	0.0026658	121.88	0.12643	0.0096664	42.837	0.023345	361.69	400.25	1.6664	0.79188	1.2674	218.99	1.8296	13.267	0.014974
-22.634	16.6	1008.8	0.00099126	117.12	118.76	0.54197	0.91049	1.9607	712.93	0.0028204	121.64	0.12625	0.0096342	43.056	0.023225	361.71	400.26	1.6657	0.79245	1.2695	218.96	1.8266	13.279	0.014996
-22.471	16.683	1008.2	0.0009919	117.43	119.08	0.54321	0.91046	1.9621	711.86	0.0029753	121.41	0.12606	0.0096022	43.276	0.023107	361.73	400.28	1.665	0.79302	1.2716	218.92	1.8237	13.292	0.015018
-22.309	16.765	1007.5	0.00099255	117.73	119.4	0.54444	0.91043	1.9635	710.79	0.0031304	121.17	0.12588	0.0095703	43.496	0.022991	361.75	400.29	1.6643	0.79359	1.2738	218.89	1.8207	13.304	0.01504
-22.147	16.848	1006.9	0.0009932	118.04	119.72	0.54568	0.9104	1.965	709.72	0.0032856	120.93	0.1257	0.0095385	43.716	0.022875	361.77	400.31	1.6636	0.79416	1.2759	218.85	1.8178	13.316	0.015062
-21.986	16.931	1006.2	0.00099384	118.35	120.03	0.5469	0.91037	1.9664	708.66	0.0034411	120.7	0.12552	0.0095068	43.936	0.02276	361.79	400.32	1.6629	0.79472	1.278	218.81	1.8149	13.328	0.015084
-21.825	17.013	1005.5	0.00099449	118.66	120.35	0.54813	0.91034	1.9678	707.61	0.0035968	120.46	0.12534	0.0094753	44.157	0.022647	361.81	400.34	1.6622	0.79529	1.2801	218.78	1.812	13.341	0.015106
-21.665	17.096	1004.9	0.00099513	118.96	120.66	0.54935	0.91031	1.9693	706.55	0.0037528	120.23	0.12516	0.0094439	44.377	0.022534	361.83	400.35	1.6615	0.79585	1.2822	218.74	1.8091	13.353	0.015129
-21.505	17.178	1004.2	0.00099578	119.27	120.98	0.55056	0.91028	1.9707	705.5	0.0039089	120	0.12498	0.0094127	44.598	0.022422	361.85	400.36	1.6608	0.79641	1.2844	218.71	1.8063	13.365	0.015151
-21.346	17.261	1003.6	0.00099642	119.57	121.29	0.55177	0.91025	1.9721	704.46	0.0040653	119.77	0.1248	0.0093816	44.819	0.022312	361.87	400.38	1.6601	0.79697	1.2865	218.67	1.8035	13.377	0.015173
-21.188	17.343	1002.9	0.00099706	119.87	121.6	0.55298	0.91022	1.9736	703.41	0.0042219	119.54	0.12462	0.0093505	45.04	0.022202	361.88	400.39	1.6594	0.79753	1.2886	218.63	1.8007	13.389	0.015195
-21.03	17.426	1002.3	0.0009977	120.17	121.91	0.55418	0.91019	1.975	702.37	0.0043787	119.32	0.12445	0.0093197	45.262	0.022094	361.9	400.4	1.6588	0.79809	1.2907	218.6	1.7979	13.401	0.015217
-20.872	17.508	1001.7	0.00099834	120.47	122.22	0.55538	0.91017	1.9765	701.33	0.0045358	119.09	0.12427	0.0092889	45.483	0.021986	361.92	400.41	1.6581	0.79864	1.2929	218.56	1.7951	13.413	0.015239
-20.716	17.591	1001	0.00099899	120.77	122.53	0.55657	0.91014	1.9779	700.3	0.0046931	118.86	0.12409	0.0092583	45.705	0.02188	361.94	400.43	1.6574	0.7992	1.295	218.52	1.7923	13.425	0.015261
-20.559	17.673	1000.4	0.00099963	121.07	122.84	0.55776	0.91011	1.9794	699.27	0.0048506	118.64	0.12392	0.0092278	45.926	0.021774	361.95	400.44	1.6568	0.79975	1.2971	218.49	1.7896	13.437	0.015283
-20.403	17.756	999.73	0.0010003	121.37	123.15	0.55894	0.91009	1.9809	698.24	0.0050083	118.42	0.12374	0.0091974	46.148	0.021669	361.97	400.45	1.6561	0.8003	1.2993	218.45	1.7869	13.449	0.015305
-20.248	17.839	999.1	0.0010009	121.67	123.45	0.56012	0.91006	1.9823	697.21	0.0051663	118.2	0.12357	0.0091671	46.37	0.021566	361.99	400.46	1.6554	0.80085	1.3014	218.41	1.7842	13.461	0.015327
-20.093	17.921	998.46	0.0010015	121.97	123.76	0.5613	0.91004	1.9838	696.19	0.0053245	117.98	0.1234	0.009137	46.593	0.021463	362	400.47	1.6548	0.8014	1.3036	218.37	1.7815	13.473	0.015349
-19.939	18.004	997.82	0.0010022	122.26	124.07	0.56247	0.91001	1.9852	695.17	0.0054829	117.76	0.12322	0.0091069	46.815	0.021361	362.02	400.48	1.6541	0.80194	1.3057	218.34	1.7788	13.485	0.015371
-19.786	18.086	997.19	0.0010028	122.56	124.37	0.56364	0.90999	1.9867	694.16	0.0056416	117.54	0.12305	0.009077	47.038	0.02126	362.04	400.49	1.6534	0.80249	1.3079	218.3	1.7761	13.497	0.015393
-19.632	18.169	996.55	0.0010035	122.85	124.67	0.56481	0.90997	1.9882	693.14	0.0058006	117.32	0.12288	0.0090472	47.26	0.021159	362.05	400.49	1.6528	0.80303	1.31	218.26	1.7735	13.509	0.015415
-19.48	18.251	995.92	0.0010041	123.14	124.98	0.56597	0.90995	1.9897	692.13	0.0059597	117.11	0.12271	0.0090175	47.483	0.02106	362.07	400.5	1.6521	0.80358	1.3122	218.22	1.7709	13.521	0.015437
-19.328	18.334	995.29	0.0010047	123.44	125.28	0.56712	0.90992	1.9911	691.13	0.0061192	116.89	0.12254	0.0089879	47.706	0.020962	362.08	400.51	1.6515	0.80412	1.3144	218.18	1.7682	13.532	0.015459
-19.176	18.416	994.66	0.0010054	123.73	125.58	0.56828	0.9099	1.9926	690.12	0.0062788	116.68	0.12237	0.0089585	47.93	0.020864	362.09	400.52	1.6508	0.80466	1.3165	218.15	1.7657	13.544	0.015481
-19.025	18.499	994.03	0.001006	124.02	125.88	0.56943	0.90988	1.9941	689.12	0.0064387	116.47	0.1222	0.0089291	48.153	0.020767	362.11	400.53	1.6502	0.8052	1.3187	218.11	1.7631	13.556	0.015503
-18.874	18.581	993.41	0.0010066	124.31	126.18	0.57057	0.90986	1.9956	688.12	0.0065989	116.26	0.12203	0.0088999	48.377	0.020671	362.12	400.53	1.6495	0.80573	1.3209	218.07	1.7605	13.568	0.015525
-18.724	18.664	992.78	0.0010073	124.6	126.48	0.57171	0.90984	1.9971	687.13	0.0067593	116.04	0.12187	0.0088708	48.601	0.020576	362.14	400.54	1.6489	0.80627	1.323	218.03	1.758	13.58	0.015547
-18.574	18.746	992.16	0.0010079	124.89	126.78	0.57285	0.90982	1.9986	686.13	0.00692	115.84	0.1217	0.0088418	48.825	0.020481	362.15	400.55	1.6482	0.8068	1.3252	217.99	1.7554	13.591	0.015569
-18.425	18.829	991.53	0.0010085	125.17	127.07	0.57399	0.9098	2.0001	685.14	0.0070809	115.63	0.12153	0.0088129	49.049	0.020388	362.16	400.55	1.6476	0.80734	1.3274	217.95	1.7529	13.603	0.015591
-18.276	18.912	990.91	0.0010092	125.46	127.37	0.57512	0.90978	2.0016	684.16	0.0072421	115.42	0.12137	0.0087841	49.273	0.020295	362.18	400.56	1.647	0.80787	1.3296	217.91	1.7504	13.615	0.015613
-18.128	18.994	990.29	0.0010098	125.75	127.67	0.57624	0.90976	2.0031	683.17	0.0074035	115.21	0.1212	0.0087554	49.498	0.020203	362.19	400.56	1.6463	0.8084	1.3318	217.87	1.7479	13.626	0.015634
-17.98	19.077	989.67	0.0010104	126.03	127.96	0.57737	0.90975	2.0046	682.19	0.0075652	115.01	0.12104	0.0087268	49.722	0.020112	362.2	400.57	1.6457	0.80893	1.3339	217.83	1.7454	13.638	0.015656
-17.833	19.159	989.05	0.0010111	126.32	128.25	0.57849	0.90973	2.0061	681.21	0.0077271	114.8	0.12087	0.0086983	49.947	0.020021	362.21	400.57	1.6451	0.80946	1.3361	217.79	1.743	13.65	0.015678
-17.686	19.242	988.43	0.0010117	126.6	128.55	0.5796	0.90971	2.0076	680.23	0.0078893	114.6	0.12071	0.0086699	50.172	0.019931	362.22	400.58	1.6444	0.80999	1.3383	217.75	1.7405	13.661	0.0157
-17.539	19.324	987.82	0.0010123	126.88	128.84	0.58072	0.90969	2.0091	679.26	0.0080518	114.4	0.12055	0.0086417	50.398	0.019842	362.24	400.58	1.6438	0.81051	1.3405	217.72	1.7381	13.673	0.015722
-17.393	19.407	987.2	0.001013	127.17	129.13	0.58183	0.90968	2.0106	678.29	0.0082146	114.2	0.12038	0.0086135	50.623	0.019754	362.25	400.58	1.6432	0.81104	1.3427	217.68	1.7357	13.685	0.015744
